,Year,Irrigated area: Total,Irrigated area: Rice,Irrigated area: Wheat,Irrigated area: Maize,Irrigated area: Vegetables and fruits,Irrigated area: Others,Industrial gross value added (GVA): Total,Industrial gross value added (GVA): Textile,Industrial gross value added (GVA): Papermaking,Industrial gross value added (GVA): Petrochemicals,Industrial gross value added (GVA): Metallurgy,Industrial gross value added (GVA): Mining,Industrial gross value added (GVA): Food,Industrial gross value added (GVA): Cements,Industrial gross value added (GVA): Machinery,Industrial gross value added (GVA): Electronics,Industrial gross value added (GVA): Thermal electrivity,Industrial gross value added (GVA): Others,Urban population,Service GVA,Rural population,Livestock population,Total water use,Basin,Index
0,1965,15179.14447957387,6824.293811318528,1691.5203090202453,892.0083265155359,401.3161612659396,5370.005871453623,46.07388348207668,10.864801376814327,0.3176960852186468,0.890088916968931,2.689467473091192,0.21707553714745026,2.9739525901669763,0.724623428469285,0.6111163724121706,0.32607990227090894,0.15553058003208414,26.328119642810993,49.04554442635394,19.71628384795595,252.8589716240303,36775.598589668196,118.71905223399568,changjiang,0
1,1966,14849.45009147169,6759.4630938215405,1655.7386595323833,924.2426455573845,383.20110924447454,5126.804583315902,58.12802760692578,12.389268274301418,0.3705843118934818,1.062180834160198,3.1908982630991707,0.2476721656085428,3.5411903148552613,0.8704075363694218,0.7546563130248172,0.3880200774979725,0.18838929785610042,35.14464091883997,50.753819882830726,19.93874527642524,265.044105267239,37575.04564298337,119.94361060614978,changjiang,0
2,1967,14869.257255718987,6553.09460331978,1879.2522028283117,922.0058972645924,389.55090293469505,5125.353649371614,47.864066351386604,12.42224980148233,0.4078183385008203,1.2292991616559,3.297545094445121,0.3062828977187908,4.039371553026384,1.0192855859782888,0.8589445524835604,0.4104138943812184,0.22229805927206858,23.987949817756096,52.53543852134775,20.304431874248817,277.0321999778268,38524.930886712595,119.89059726966659,changjiang,0
3,1968,15058.741375834768,6791.004372001099,1857.4572157233902,921.5638865416148,409.8742972146949,5078.84160435397,42.42049731011846,16.91228072394928,0.5835856225037681,1.7262695804371735,3.987342403788206,0.42839365880895103,8.29730157700884,1.3968638433574347,1.25705905733846,0.6297181725127052,0.315901948424747,18.303203918640882,54.39399899999824,21.551910031687004,288.3353912131621,39552.14639469767,121.7643701740192,changjiang,0
4,1969,15023.339589034873,6742.2214200605,1893.3206854003674,922.3268331375999,394.37350314609336,5071.097147290318,55.498866574687405,13.96152508877332,0.5562645644317048,1.7071329256377106,4.224915188504208,0.43676133419003577,5.257252813960611,1.3789643537570146,1.25659568562229,0.5264103602587198,0.3259463557105855,26.80591737842207,56.33329824800812,25.133601702189754,299.02329013868143,40735.02673278408,125.07188794285544,changjiang,0
5,1970,15075.884031717296,6993.316324870937,1912.9806896202585,944.9338994700115,330.9065752948657,4893.746542461218,71.906138297243,15.450810110458184,0.6353164190215412,2.068742218410965,4.96880557427776,0.5176336316150467,5.8132749749293975,1.5971524645416424,1.461994592881624,0.5919271742576243,0.3998041758742924,38.42072891486244,58.357343813782265,28.105508387467705,309.1340251055077,42407.79477341281,128.33959508529708,changjiang,0
6,1971,14896.159587007944,7193.51305326247,1906.127673307381,931.6790277304974,333.5735549977291,4531.266277709868,83.07695801102,16.89417217918641,0.7134230506463368,2.4162515200587067,5.585686655735932,0.5761555461953106,6.817924022568483,1.8718970631527851,1.7657648126594843,0.6809438624692201,0.46670566708295935,45.30106545180526,60.47036709422564,31.531378002875048,318.8926948115092,43094.53000067311,132.88484330769083,changjiang,0
7,1972,15537.311374106772,7433.733068239832,2016.314875516606,936.2880231850537,339.17018341873086,4811.80522374655,79.55726697990582,16.94938997417903,0.7657042627670079,2.664277856297544,5.865211786851851,0.673469749136746,7.317861323350724,2.112696546964354,1.9965227391184817,0.7269134821962945,0.5352353320791596,39.959717661625966,62.67683751806206,31.494484874550587,328.2671992566678,44345.74265468135,136.81975398199248,changjiang,0
8,1973,16188.706668982963,7799.153972023306,2080.6897214491087,960.3453015219281,381.1437090661834,4967.373964922441,75.69346604069901,15.374427921330122,0.7474738434438469,2.677207816604936,5.764674326767985,0.6726409979955361,6.996456888776074,2.0149598491658747,2.0743173057418973,0.7232855032074424,0.5568879859910514,38.139710432663364,64.98147776277808,31.112958724153522,337.148838440951,45726.429600077376,142.68099070769125,changjiang,0
9,1974,17060.911773535317,8216.979060183972,2246.4216896088474,1053.648236114833,407.4630699158678,5136.399717711794,74.01659631151747,16.277636624489432,0.8731116380135687,3.223816344693972,6.456779393047967,0.8378288177461468,8.109475644408851,2.3982072353081922,2.518962421539208,0.8248074491418547,0.6894590548578929,32.160008296439976,67.38928009247626,33.47908726102287,345.5962123643772,47124.809736205534,148.41272339607275,changjiang,0
