,City_ID,Year,IRR,Irrigated area: Total,Irrigated area: Rice,Irrigated area: Wheat,Irrigated area: Maize,Irrigated area: Vegetables and fruits,Irrigated area: Others,Irrigation water-use intensity (WUI): Total,Irrigation water-use intensity (WUI): Rice,Irrigation water-use intensity (WUI): Wheat,Irrigation water-use intensity (WUI): Maize,Irrigation water-use intensity (WUI): Vegetables and fruits,Irrigation water-use intensity (WUI): Others,IND,Industrial gross value added (GVA): Total,Industrial gross value added (GVA): Textile,Industrial gross value added (GVA): Papermaking,Industrial gross value added (GVA): Petrochemicals,Industrial gross value added (GVA): Metallurgy,Industrial gross value added (GVA): Mining,Industrial gross value added (GVA): Food,Industrial gross value added (GVA): Cements,Industrial gross value added (GVA): Machinery,Industrial gross value added (GVA): Electronics,Industrial gross value added (GVA): Thermal electrivity,Industrial gross value added (GVA): Others,Industrial WUI: Total,Industrial WUI: Textile,Industrial WUI: Papermaking,Industrial WUI: Petrochemicals,Industrial WUI: Metallurgy,Industrial WUI: Mining,Industrial WUI: Food,Industrial WUI: Cements,Industrial WUI: Machinery,Industrial WUI: Electronics,Industrial WUI: Thermal electrivity,Industrial WUI: Others,URB,Urban domestic WU,Urban population,Urban domestic WUI,Urban service WU,Service GVA,Service WUI,RUR,Rural domestic WU,Rural population,Rural domestic WUI,Rural livestock WU,Livestock population,Livestock WUI,Total water use
756,C16,1985,1.105386957401751,86.50750170187987,46.15504139168273,3.4163844811252098,0.5710746322770915,3.0279295296436057,33.33707166715124,1277.7931805395442,2136.6517718680157,264.8741865952086,296.6590889866336,491.1543313557112,280.7666377909211,0.0133630144241992,0.6032971711149517,0.09912124683587802,0.013160845020548106,0.057040082390758064,0.04970681916998605,0.029003531073697398,0.1184731673845224,0.04451949055091786,0.027332540451350345,0.006555204698702452,0.01592278479309952,0.1424614587454915,0.022149970303197434,0.015221343684652819,0.04760118753512099,0.03309095066619152,0.019985304691641243,0.02916943074368948,0.01360927370449012,0.024157744797556696,0.003601793119858916,0.0035304260579310893,0.19608403274628003,0.011015148395734836,0.0407628933512381,0.028611464985540347,0.643419,121.82974904821006,0.012151428365697752,0.5232159854607092,0.023224497537088842,0.019241751881652606,0.017308007626803554,0.629935,75.2763364117631,0.001933744254849055,114.00222467658865,0.016962337887132185,1.1787546170588408
757,C16,1986,1.1039140484130265,85.45781710926629,46.04745613118279,3.3294186372958445,0.6118315761159926,3.6232634775280377,31.84584728714362,1291.7648563402493,2140.9147471717197,265.40265460806444,297.25097316103216,492.1342658553073,281.32681388454836,0.014568115085008302,0.850463507369296,0.13210325015953522,0.017859848725794703,0.07968111507899275,0.07140126359880257,0.041554924081213654,0.1629617520051598,0.061546289807254614,0.04150445024224046,0.009563970726825901,0.023469971310006606,0.20881667163346956,0.017129618095044735,0.011715950307185136,0.036638890710205936,0.02547028315335339,0.01538279678142379,0.022451868124265348,0.010475131351212532,0.018594346428640544,0.002772319585134633,0.0027173879727593556,0.15092693728505596,0.00847841911360422,0.0409790629573598,0.02898901192898885,0.6575759999999999,120.77988018172869,0.011990051028370951,1.658204229242655,0.007230744450487332,0.0193690726097907,0.017305194130658844,0.634518,74.7204819546937,0.002063878479131859,122.06460016405937,0.016908083722536504,1.1788302990651853
758,C16,1987,1.102441139424302,88.29742393845018,46.558639670968674,3.3830848288916036,0.7223864953134058,4.124373670018464,33.50893927325803,1248.55413697322,2102.705773768635,260.6660050126407,291.9459256141576,483.35113000197487,276.3059653133991,0.015156771126600698,1.230184740198485,0.12233908244613186,0.02199424298624117,0.10579667022843486,0.10334062683247798,0.046262678235932206,0.21392983935767443,0.0728987657051053,0.05043722293870321,0.0017757391646115394,0.0361066963471013,0.455303175956071,0.012320727636529794,0.008614751719524373,0.026940618427993855,0.01872832846154683,0.011310988144307301,0.01650888442326618,0.007702376115811896,0.013672444289160614,0.0020384897756405506,0.0019980984979585397,0.11097675036241833,0.006234191313783294,0.0426965182964669,0.030256039799510758,0.675531,122.70829869345303,0.012440478496956143,2.314092241223996,0.005375964827735641,0.019745578098710796,0.01765954626473354,0.640508,75.5374148855542,0.0020860318339772583,122.25199597752051,0.01706337648966348,1.1800400069460806
759,C16,1988,1.1009682304355777,91.82808001784188,49.15487779439277,3.6644594587814985,0.764810759741296,4.989610162941572,33.254321841984755,1198.9450614906282,1993.348928080073,247.10937124959582,276.7624957995473,458.21315987014685,261.93593352457157,0.0157692130823827,1.4450721473281196,0.15149801710263816,0.025547161941461078,0.12143268896628986,0.11289025906527048,0.054385333827346186,0.23675748659504703,0.08587304761764045,0.06542974008151495,0.02457101492404717,0.03809762359392558,0.5285897736129387,0.010912405385114744,0.007923102693335205,0.02477764808278643,0.017224694861379085,0.010402867493828554,0.015183442413261049,0.007083978614259972,0.012574730380959244,0.0018748263858967774,0.0018376779861043265,0.1020668056748838,0.00573366936124892,0.0418501093981182,0.03009972245690625,0.692175,119.13893600985278,0.011750386941211948,2.551103966914845,0.0046060008112574794,0.0188829174083813,0.01668178220203528,0.646568,70.6863205142977,0.002201135206346021,127.91802529361213,0.017207388882792104,1.17747047032446
760,C16,1989,1.0994953214468528,94.70272777065624,52.50865682664984,3.785796882194198,0.9063043737401857,5.336040971169211,32.165928716902805,1160.996464758149,1877.6442830356034,232.7658202110253,260.6977186363483,431.6160145983733,246.73176942368679,0.0164064020734052,1.5720479619059717,0.16902069245468876,0.027823675998986396,0.13566233383124154,0.11906207792816685,0.06280988245315741,0.24252428296506237,0.08863005342971456,0.07613319085231202,0.030553451592046272,0.04465311818739221,0.5751752022132035,0.010436324126850341,0.0074516276167701295,0.023303220200290225,0.016199715804196088,0.009783830616738107,0.014279930878526633,0.00666243676521224,0.011826453828373976,0.0017632622742034555,0.0017283244408158992,0.095993180621305,0.005392479513568715,0.041358810130071796,0.030150431304652087,0.708767,116.54594723316471,0.011208378825419713,2.707251988948046,0.004140131347645602,0.0181986978527496,0.015938312651111997,0.6506730000000001,67.1099154307103,0.002260385201637604,131.8204803869419,0.01714745079825636,1.1754592315030792
761,C16,1990,1.0980224124581284,108.01173597853912,60.3144153756959,4.350171046593537,1.2697711021320919,5.921321312587531,36.156057141530056,1016.5769511160296,1635.3681216967245,202.7315853343047,227.05937557442127,375.9237452297473,214.895480454363,0.0167902171461651,1.793018967574779,0.1900734382108272,0.03292716048937916,0.1514221409669987,0.1507960549479954,0.06965257994666393,0.2652094201886225,0.09725682822045703,0.08294648633433369,0.03156299705724403,0.05769608868853845,0.6634757725237189,0.009364216134799395,0.006468931627721412,0.020230068641937105,0.014063350896657568,0.008493571414444802,0.012396740853485697,0.005783816653851573,0.010266820236961313,0.0015307290809718124,0.001500398733425166,0.08333391764897286,0.004681337161650134,0.0453780072325506,0.03301774697495628,0.7468680000000001,121.1185654671306,0.012360260257594314,1.5126501482176946,0.00817126172377532,0.02015288155655571,0.01780654657567301,0.672907,72.4989621321117,0.002346334980882704,136.63742948187274,0.01717197835014881,1.1803435183934
762,C16,1991,1.1187057240525389,112.06185311695701,61.86036864371552,4.564076993760606,1.3835566962356411,6.35067914494535,37.903171638299895,998.2930791667036,1619.9330648106677,200.81814853024804,224.91632635387782,372.3756728933362,212.86723744206296,0.0177590613954587,2.2391601587126457,0.226590905283396,0.038120828343381284,0.18747612896173632,0.19479033759065775,0.08968918815758727,0.32291615788419453,0.11728586143684487,0.11158527744377789,0.0410442047500823,0.06665298207278322,0.843008286788204,0.007931126018993151,0.0056190995198987835,0.01757241775539812,0.012215829880306141,0.007377759698774819,0.01076816460381532,0.005023989006711388,0.008918054477060072,0.0013296351760968463,0.00130328936644145,0.07238623061742988,0.00406634370423515,0.048575710633234695,0.0357058363103017,0.81035,120.7184661804402,0.012869874322933,3.5868073295664344,0.0035881142030811794,0.020017254426130303,0.01759454336193782,0.660911,72.9360358488068,0.0024227110641924852,139.98330016441264,0.01730714350459642,1.2050577505073627
763,C16,1992,1.0923032554045755,115.5992728141116,64.27683875984194,4.515744605799717,1.4620798725302333,6.538576772833109,38.8060328031066,944.9049538235801,1524.66936192659,189.00859858594094,211.68963041625383,350.47730793347574,200.34911450109732,0.0184766544898601,2.7716715138592223,0.2490040323609025,0.04086717990725453,0.21227073555356718,0.24386323110318223,0.10537240277512064,0.3515742727662793,0.14823716377763813,0.15434088379094157,0.04494557464341638,0.08289961545341244,1.1382964217275071,0.006666249733228148,0.0048008493294747975,0.015013531919038465,0.010436967432622075,0.0063034143775989385,0.009200110379755693,0.004292398482843311,0.00761941227500893,0.0011360144309609298,0.0011135050836588091,0.06184538741345449,0.003474204964115502,0.0530271464475645,0.039212597569120364,0.8743089999999999,122.8762075673173,0.013814548878444133,4.172056618731053,0.0033112083897475684,0.020463532990217893,0.01799106403916935,0.647136,76.1672761346659,0.0024724689510485453,142.9310603073555,0.017298332117118616,1.1842705893322178
764,C16,1993,1.0509319744372974,115.72025506267138,61.129377913345536,4.711940362839555,1.5248462931174147,6.651042290421509,41.703048202947365,908.1659678922564,1524.546175502584,188.99332754164263,211.67252684663978,350.4489909440105,200.3329271941412,0.0192232434775514,3.585563919817301,0.3029237269630522,0.045631855862027684,0.2241552738033342,0.4044966022908335,0.15949288602103578,0.3947397153087358,0.1873598438873573,0.3058922138043037,0.04229518460635749,0.11696758615566656,1.4016090311145968,0.005361288742143216,0.003826851936067569,0.01196758318134304,0.008319513128851591,0.005024576248759208,0.00733358991348621,0.0034215557117347464,0.00607358419629986,0.0009055395673080042,0.0008875969214570126,0.049298181283668537,0.002769357478393399,0.05719289734868001,0.042702860784095034,0.9453489999999999,123.75761664158628,0.014490036564584969,5.171655195927374,0.002801817989721303,0.02115690757683101,0.018454912484590972,0.631065,80.120754704147,0.0027019950922400364,155.9420620081445,0.017326916531980433,1.1485050228403597
765,C16,1994,1.045,120.16318598181637,61.30721231696811,4.701573329899458,1.6681422946142002,6.858647484787515,45.62761055554707,869.6507099588171,1499.4125654378515,185.87759075675845,208.18290164756945,344.67150225426184,197.03024620216397,0.02,3.9755989800155604,0.3189501292083406,0.04227107888864186,0.2066229586663025,0.3131749533449967,0.1626193270186575,0.41063104603892436,0.18883220857616823,0.28551827782164996,0.03741030587032744,0.08280960501828055,1.9267590895632707,0.005030688482549546,0.004143071633870047,0.01295648622756832,0.009006969547709692,0.00543976607306186,0.007939577713639491,0.0037042850493873855,0.006575455444839837,0.0009803659397692745,0.0009609406606354785,0.053371779177751856,0.0029981944962751204,0.0679492906962508,0.05032455121782551,1.008488,136.71504548250752,0.01762473947842529,5.225308020683116,0.0033729570407451635,0.025351497915869502,0.022289431001095813,0.608634,100.334411566849,0.0030620669147736904,176.71457365889978,0.017327755438463113,1.1583007886121204
